Ticker,Name,Inception_Date,Index_Fund,Global_Category,#_of_Stock_Holdings,Total_Market_Value,Average_Market Cap_(mil),P_B_Ratio_(TTM),P_C_Ratio_(TTM),P_E_Ratio_(TTM),P_S_Ratio_(TTM),Debt_to_Capital_%_(trailing),Net_Margin_%_(trailing),ROA_%_(TTM),ROE_%_(TTM),P_FCF_Ratio_(TTM),ROIC_(TTM),Equity_Style_Factor_P_E,Equity_Style_Factor_P_B,Equity_Style_Factor_P_S,Equity_Style_Factor_P_C,Equity_Style_Factor_Div_Yld,Equity_Style_Factor_LT_Earn_Growth,Equity_Style_Factor_Hist_Earn_Growth,Equity_Style_Factor_BV_Growth,Equity_Style_Factor_Sales_Growth,Equity_Style_Factor_CF_Growth
ANWPX,American Funds New Perspective A,3/13/1973,No,Global Equity,191.00,41292621713.00,46910.89,2.36,7.97,18.14,1.36,31.58,9.33,6.58,14.52,18.53,12.11,15.46,2.06,1.07,4.36,3.03,9.49,-9.32,-4.20,-0.20,9.01
AOFIX,Alger Small Cap Focus I,3/3/2008,No,US Equity Small Cap,121.00,9652982.00,1614.12,2.22,10.16,21.82,1.29,32.31,2.79,0.52,2.07,37.40,0.34,19.59,1.79,1.07,6.19,0.86,14.97,9.17,4.04,5.69,16.07
AOTIX,AllianzGI Emerging Markets Opps Instl,5/27/2004,No,Emerging Markets Equity,117.00,90709478.00,13546.37,2.41,7.11,13.99,1.22,27.45,12.41,7.07,16.76,,15.60,12.36,1.96,1.02,3.77,2.27,12.73,-11.13,-27.01,-35.42,-39.06
APEQX,Cavanal Hill Multi Cap Equity Inc Inv,9/28/1990,No,US Equity Large Cap Growth,67.00,23474965.00,31314.06,2.23,10.30,19.98,1.29,32.12,7.85,6.08,15.32,18.70,15.04,15.80,1.86,0.98,6.83,2.20,12.28,-2.21,9.46,14.54,11.82
APGAX,AB Large Cap Growth A,9/28/1992,No,US Equity Large Cap Growth,57.00,2054041357.00,54311.90,2.54,12.48,24.49,2.02,27.46,12.77,6.59,14.40,17.72,13.87,16.83,2.53,1.69,10.18,2.89,11.92,-0.20,8.48,11.13,14.78
APHEX,Artisan Emerging Markets Inst,6/26/2006,No,Emerging Markets Equity,103.00,215957014.00,9267.84,2.11,7.60,13.72,1.28,23.71,16.54,8.65,16.76,,15.55,12.57,1.69,0.83,2.98,2.73,10.30,-10.11,-20.22,-10.86,3.72
APIFX,API Master Allocation A,3/19/2009,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
APIGX,API Capital Income A,4/13/1988,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
APITX,API Growth L,6/14/1985,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
AQEIX,LKCM Aquinas Catholic Equity,7/11/2005,No,US Equity Large Cap Blend,54.00,36621584.00,13872.43,2.13,8.66,20.10,1.39,36.35,7.41,3.88,11.01,17.31,8.27,17.21,2.09,1.15,5.72,2.25,10.86,-3.32,-1.01,6.86,17.20
AQGIX,AQR Global Equity I,6/30/2006,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
AQIIX,AQR International Equity I,7/30/2004,No,Global Equity Large Cap,450.00,532289155.00,27521.77,1.40,0.60,12.88,0.15,35.30,9.35,4.07,11.84,,9.90,13.08,1.15,0.56,3.29,5.11,6.18,-16.76,-13.89,1.49,3.40
ARDEX,AMG River Road Dividend All Cap Value N,6/28/2005,No,US Equity Large Cap Value,72.00,183267540.00,12001.58,2.19,7.97,14.97,1.18,35.46,11.23,6.35,17.89,14.45,13.27,14.15,2.25,0.93,6.22,4.54,8.25,0.27,0.04,10.07,10.75
ARFFX,Ariel Focus Investor,6/30/2005,No,US Equity Large Cap Value,23.00,37587472.00,38889.55,2.41,9.67,16.17,1.29,31.12,7.80,6.92,23.20,13.84,19.50,12.86,2.46,1.04,7.88,2.30,9.85,7.45,-1.87,8.39,5.43
ARGFX,Ariel Fund Investor,11/6/1986,No,US Equity Mid Cap,35.00,1919741919.00,3443.94,1.96,7.60,20.63,0.98,45.50,-1.29,-0.82,5.72,11.08,5.64,16.54,2.17,0.80,4.66,2.69,10.04,-1.23,-14.66,6.07,4.47
ARIIX,AB Global Real Estate Investment II I,12/9/1997,No,Real Estate Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
ARSMX,AMG River Road Select Value N,3/29/2007,No,US Equity Small Cap,76.00,224409139.00,1589.92,1.63,6.41,14.69,0.67,26.34,6.95,5.28,13.12,14.10,11.19,14.36,1.65,0.54,4.91,2.48,10.79,1.49,-0.12,7.03,15.34
ARSTX,Nuveen Small Cap Select I,5/6/1992,No,US Equity Small Cap,118.00,767140341.00,1139.30,1.90,9.27,19.73,1.40,25.00,3.67,0.75,2.23,20.86,4.27,17.73,1.73,1.13,5.55,1.67,12.75,0.63,4.13,9.47,19.97
ARSVX,AMG River Road Small Cap Value N,6/28/2005,No,US Equity Small Cap,91.00,509301692.00,854.08,1.54,6.55,15.24,0.61,26.41,5.87,5.29,11.92,17.01,10.43,14.86,1.56,0.50,4.98,2.77,11.70,7.79,0.30,7.28,14.05
ARSYX,AB Global Real Estate Investment Advisor,9/30/1996,No,Real Estate Sector Equity,104.00,123468919.00,5336.21,1.39,,19.89,2.13,47.23,19.31,0.38,1.38,,,21.05,1.17,1.93,7.51,7.72,11.06,-5.54,-0.61,4.45,4.85
ARTGX,Artisan Global Value Investor,12/10/2007,No,Global Equity,40.00,30561578.00,17872.25,1.92,7.42,18.06,1.02,34.76,3.96,3.88,12.37,69.44,9.55,14.64,1.93,0.89,9.76,2.75,8.31,-0.66,-20.68,-5.60,-10.54
ARTIX,Artisan International Investor,12/28/1995,No,Global Equity Large Cap,83.00,10571398053.00,33551.04,1.84,5.81,17.26,0.96,40.99,9.79,4.18,12.04,,9.35,14.76,1.59,0.81,6.05,3.97,9.04,61.65,-26.21,24.54,269.55
ARTJX,Artisan International Small Cap Investor,12/21/2001,No,Global Equity Mid/Small Cap,58.00,758945834.00,1655.79,1.67,6.16,22.11,0.89,,9.98,4.91,11.61,,11.43,15.56,1.48,0.32,5.75,3.45,12.25,6.36,-5.21,-6.85,-5.94
ARTKX,Artisan International Value Investor,9/23/2002,No,Global Equity Large Cap,43.00,2330391897.00,9960.84,1.59,6.50,16.59,0.94,32.99,2.47,2.99,10.93,-56.09,7.79,14.08,1.42,0.75,8.70,3.85,7.31,-11.55,-21.28,-7.43,-10.86
ARTLX,Artisan Value Investor,3/27/2006,No,US Equity Large Cap Value,35.00,210022793.00,27507.89,1.88,7.88,15.63,0.73,28.77,8.67,5.56,16.87,12.36,17.10,12.19,1.88,0.59,6.08,2.82,9.80,-4.71,-1.88,6.51,15.20
ARTMX,Artisan Mid Cap Investor,6/27/1997,No,US Equity Mid Cap,86.00,4369429587.00,6679.42,3.33,14.26,27.90,1.81,21.17,8.85,6.29,11.45,22.50,8.92,23.46,2.91,1.35,10.41,0.65,16.22,6.57,12.04,18.49,13.93
ARTQX,Artisan Mid Cap Value Investor,3/28/2001,No,US Equity Mid Cap,59.00,5290540411.00,5401.09,1.80,7.00,16.35,0.69,33.81,7.70,2.89,10.34,12.45,7.70,13.48,1.96,0.59,5.64,2.68,10.61,-1.50,-1.25,6.53,13.34
ARTRX,Artisan Global Opportunities Inv,9/22/2008,No,Global Equity,38.00,56342519.00,20614.16,2.98,12.55,27.51,1.87,22.03,11.62,6.84,11.94,18.40,12.01,20.31,2.61,1.45,7.58,1.44,13.90,13.63,14.55,-0.46,18.27
ARTSX,Artisan Small Cap Investor,3/28/1995,No,US Equity Small Cap,75.00,376368443.00,1493.47,2.34,12.18,22.22,1.38,29.67,5.77,4.35,8.45,21.39,7.12,19.87,2.21,1.08,6.92,1.21,16.10,9.68,11.59,13.49,25.52
ASCGX,Lebenthal Lisanti Small Cap Growth,2/27/2004,No,US Equity Small Cap,105.00,12423760.00,1130.97,3.29,13.61,30.31,1.68,23.73,-0.35,-1.09,2.06,34.34,1.09,26.69,2.49,1.17,7.47,0.09,17.45,-7.02,4.42,5.08,17.95
ASIAX,Invesco Asia Pacific Growth A,11/3/1997,No,Asia ex-Japan Equity,69.00,428222143.00,6090.53,2.44,10.18,15.79,1.52,,14.95,9.13,18.66,,23.24,14.01,1.66,1.22,7.33,3.22,13.17,11.75,6.89,-1.99,18.76
ASMCX,Salient Adaptive US Equity Institutional,8/24/1992,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
ASMOX,AQR Small Cap Momentum Style I,7/9/2009,No,US Equity Small Cap,529.00,3306364.00,640.96,1.99,5.92,16.38,0.65,39.82,-3.18,-5.34,-3.02,17.68,-7.58,17.05,1.90,0.51,3.27,1.91,14.41,-10.07,-13.57,-2.49,8.37
ASQIX,American Century Small Company Inv,7/31/1998,No,US Equity Small Cap,356.00,380923979.00,1083.10,1.76,5.93,15.96,0.77,29.96,4.97,2.90,8.97,10.68,7.05,15.73,1.72,0.62,4.30,1.61,12.85,11.63,3.01,9.18,19.63
ASRAX,Invesco Global Real Estate Income A,5/31/2002,No,Real Estate Sector Equity,33.00,179252668.00,3768.18,1.84,,28.64,4.94,53.92,17.51,2.36,6.64,,,37.99,1.89,4.13,9.78,6.45,4.65,6.41,1.74,4.80,-3.35
ASVIX,American Century Small Cap Value Inv,7/31/1998,No,US Equity Small Cap,371.00,1699263207.00,859.72,1.31,6.08,15.51,0.80,30.01,1.24,-1.51,0.62,13.73,0.92,15.22,1.19,0.63,4.31,3.78,10.94,-7.53,-4.01,3.23,4.62
ATAFX,American Trust Allegiance,3/11/1997,No,US Equity Large Cap Growth,42.00,14478087.00,25373.71,2.41,10.11,18.94,1.59,27.60,9.90,4.84,13.55,17.61,13.74,15.78,2.40,1.15,6.61,1.61,11.04,15.17,7.87,14.47,14.52
ATASX,AMG GW&K US Small Cap Growth N,11/30/2000,No,US Equity Small Cap,59.00,846226700.00,1169.64,2.13,8.37,20.64,1.02,35.63,0.51,1.74,5.48,13.68,6.91,18.70,1.99,0.79,6.39,2.42,13.02,-5.09,-5.88,-2.32,-4.32
ATDAX,Invesco Endeavor A,11/4/2003,No,US Equity Mid Cap,25.00,114719448.00,3095.78,1.67,6.54,14.16,0.68,34.97,6.45,4.11,13.88,20.99,11.87,12.84,1.34,0.70,6.15,4.81,11.67,-6.03,-5.41,4.75,2.96
ATGAX,Aquila Three Peaks Opportunity Growth A,7/22/1994,No,US Equity Mid Cap,41.00,9753549.00,2010.56,2.13,7.01,23.03,1.03,34.44,6.32,0.38,3.09,15.34,5.84,17.14,1.63,0.64,5.37,1.19,7.21,12.13,2.78,12.30,15.48
ATIAX,Invesco Select Companies A,11/4/2003,No,US Equity Small Cap,26.00,419946252.00,925.95,1.99,7.30,15.65,0.65,44.01,-4.28,-1.31,4.48,19.21,4.61,14.60,2.11,0.47,2.83,4.28,11.98,-3.83,-9.21,5.53,34.17
ATWYX,AB Tax-Managed Wealth Apprec Strat Adv,9/2/2003,No,Global Equity,324.00,567862299.00,40818.89,1.82,6.97,18.43,1.00,35.06,7.95,3.28,8.32,21.94,10.88,14.13,1.73,0.76,4.74,3.22,9.22,-6.79,-1.16,6.63,4.44
AUERX,Auer Growth,12/28/2007,No,US Equity Small Cap,104.00,172601973.00,1212.50,1.66,8.64,12.19,1.26,29.99,12.72,10.09,18.85,16.79,21.70,9.26,1.58,1.09,2.89,1.68,17.20,1.18,1.47,-14.31,8.82
AUIAX,AB Equity Income A,10/18/1993,No,US Equity Large Cap Value,50.00,167714532.00,8006.24,1.78,5.60,13.69,1.15,49.86,11.88,4.96,17.01,26.38,8.92,12.57,1.64,0.90,4.25,4.10,6.60,11.31,7.64,6.94,5.10
AUMIX,AllianzGI Ultra Micro Cap Institutional,1/28/2008,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AUSAX,Columbia Acorn USA Z,9/4/1996,No,US Equity Small Cap,195.00,1395929826.00,1759.98,2.35,8.78,23.57,1.53,36.00,3.77,1.83,5.25,413.22,4.89,21.34,1.92,1.23,6.08,1.44,15.07,4.50,0.18,3.57,6.27
AUXFX,Auxier Focus Inv,7/9/1999,No,US Equity Large Cap Value,120.00,100826515.00,20486.74,2.15,7.49,15.06,0.78,38.17,7.53,6.26,17.95,12.95,13.59,12.64,2.05,0.60,6.54,2.14,9.67,0.72,-2.10,8.49,0.14
AVALX,Aegis Value,5/15/1998,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AVEDX,Ave Maria Rising Dividend,5/2/2005,No,US Equity Large Cap Blend,41.00,103289914.00,13789.23,2.82,10.36,16.39,1.32,27.83,10.40,9.52,22.34,13.54,15.82,14.78,3.01,1.14,8.26,2.81,10.57,6.99,4.48,10.05,13.80
AVEGX,Ave Maria Growth,5/1/2003,No,US Equity Mid Cap,39.00,115866867.00,8148.47,3.61,11.22,19.29,1.73,26.08,11.16,10.93,25.05,14.29,19.20,16.63,3.54,1.40,9.63,1.38,12.11,8.44,11.57,13.99,16.00
AVEMX,Ave Maria Value,5/1/2001,No,US Equity Mid Cap,56.00,171536555.00,6924.57,2.35,9.81,17.97,1.30,29.19,8.14,6.56,19.61,13.92,14.58,15.40,2.49,1.06,7.59,1.72,11.48,4.57,3.19,11.03,14.80
AVFIX,American Beacon Small Cp Val Inst,12/31/1998,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
AWAYX,AB Wealth Appreciation Strategy Advisor,9/2/2003,No,Global Equity,582.00,1662807414.00,22064.64,1.75,6.79,18.43,1.00,35.97,7.96,2.37,6.92,4.50,9.81,14.81,1.61,0.77,4.78,3.50,9.24,-6.40,-1.05,6.77,5.20
AWEIX,AT Disciplined Equity Institutional,12/1/2005,No,US Equity Large Cap Blend,60.00,179471605.00,31761.60,2.26,7.69,17.20,1.32,41.28,9.23,5.51,15.61,13.56,11.61,15.00,2.13,1.18,6.90,1.92,9.97,0.98,6.88,10.98,19.60
AWPAX,AB International Growth A,6/2/1994,No,Global Equity Large Cap,122.00,2011923221.00,26774.76,2.06,6.56,16.23,1.07,35.74,11.29,5.60,15.65,,12.45,15.01,1.66,0.72,3.64,3.23,9.12,4.71,4.83,7.13,7.86
AWSAX,Invesco Global Core Equity A,12/29/2000,No,Global Equity,122.00,91953030.00,35993.41,1.64,6.16,13.72,0.80,33.22,8.20,5.63,14.56,14.20,11.74,12.27,1.27,0.51,4.25,3.41,10.22,-6.67,8.10,18.13,10.06
AWSHX,American Funds Washington Mutual A,7/31/1952,No,US Equity Large Cap Value,115.00,49849486842.00,53085.00,2.30,8.27,16.75,1.12,38.39,9.10,5.74,15.22,15.82,12.97,13.24,2.37,0.86,5.70,3.89,8.04,4.12,-2.24,9.79,11.98
AWTPX,AllianzGI Global Water P,3/31/2008,No,Natural Resources Sector Equity,31.00,59839678.00,3556.03,1.90,5.52,14.96,0.74,36.49,9.01,5.95,12.43,13.50,11.10,15.24,2.10,0.92,6.32,2.86,10.13,5.18,-0.68,-2.46,-8.61
BABFX,Bread & Butter,10/31/2005,No,US Equity Large Cap Value,14.00,1062918.00,16649.96,1.25,,13.28,1.12,38.74,4.92,4.14,15.44,,,10.98,1.31,0.97,4.85,1.51,10.15,16.47,-1.15,0.98,14.37
BACIX,BlackRock All-Cap Engy & Res Instl,2/16/2005,No,Energy Sector Equity,62.00,725394244.00,12217.19,2.39,8.01,22.20,2.13,29.96,10.19,3.47,10.68,94.25,5.82,18.32,1.97,1.26,4.71,1.99,12.73,22.79,14.53,18.63,25.05
BALIX,Barrow Value Opportunity Institutional,12/31/2008,No,US Equity Mid Cap,,,,,,,,,,,,,,,,,,,,,,,
BANCX,Diamond Hill Financial Long-Short A,8/1/1997,No,Financials Sector Equity,38.00,10319370.00,10740.64,0.95,,16.44,1.10,42.56,0.97,-0.29,-1.38,,,10.39,0.91,1.12,2.78,6.19,8.52,-20.36,-2.15,-1.47,-69.39
BARAX,Baron Asset Retail,6/12/1987,No,US Equity Mid Cap,69.00,2789443367.00,4996.81,2.83,10.68,20.60,1.88,35.11,11.20,7.68,17.85,21.12,11.62,20.42,2.62,1.44,9.38,1.09,13.53,11.66,10.37,16.10,19.85
BBHLX,BBH Partner Fund - International Eq I,10/25/2002,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
BBISX,Sterling Capital Behav Lg Cp Val Eq Intl,10/9/1992,No,US Equity Large Cap Value,57.00,216226876.00,58482.63,2.18,9.58,17.26,1.41,31.20,7.59,5.63,13.73,18.10,12.02,14.00,2.27,1.13,6.10,2.75,9.17,3.61,2.26,7.24,3.61
BBTEX,BBH Core Select N,11/2/1998,No,US Equity Large Cap Blend,,,,,,,,,,,,,,,,,,,,,,,
BCIFX,Blue Chip Investor,12/31/2001,No,US Equity Large Cap Blend,22.00,15948117.00,70209.36,2.16,10.97,19.30,1.35,26.81,9.50,6.62,17.23,13.35,17.21,14.58,2.33,1.26,9.87,2.26,11.21,-8.16,3.40,9.24,12.77
BCIIX,Brown Capital Mgmt Intl Equity Inv,5/28/1999,No,Global Equity Large Cap,52.00,10908252.00,7124.36,1.90,6.44,10.58,0.81,30.83,10.57,6.70,13.46,,9.60,13.39,1.21,0.57,4.75,4.07,10.72,-18.20,-1.28,-1.52,1.11
BCMSX,Brown Capital Management Mid Co Inv,9/30/2002,No,US Equity Mid Cap,45.00,9707696.00,5067.40,3.57,12.81,24.65,1.91,20.85,10.87,10.16,18.22,18.96,15.20,20.65,3.29,1.59,9.67,0.91,15.87,11.56,14.47,16.83,15.65
BCSIX,Brown Capital Mgmt Small Co Inv,7/23/1992,No,US Equity Small Cap,45.00,675520975.00,925.45,2.91,15.97,30.50,2.84,17.34,8.46,7.05,10.25,20.84,10.52,27.17,2.78,2.26,11.93,0.87,17.09,11.48,8.44,16.99,19.14
BEEHX,The BeeHive,9/2/2008,No,US Equity Large Cap Growth,28.00,42149348.00,29327.77,1.95,8.66,15.56,1.45,31.21,10.67,4.41,11.91,13.48,9.79,13.61,1.47,1.01,6.04,1.80,10.05,2.02,-2.23,-8.13,-7.66
BEGIX,Sterling Capital Equity Income Instl,6/30/2004,No,US Equity Large Cap Value,27.00,373647472.00,30297.31,2.51,8.21,17.01,1.46,38.28,12.25,7.59,21.76,15.07,13.55,12.72,2.55,1.03,6.62,4.41,8.44,5.28,-2.09,9.54,3.90
BEMIX,Brandes Emerging Markets Value I,8/20/1996,No,Emerging Markets Equity,,,,,,,,,,,,,,,,,,,,,,,
BEQGX,American Century Equity Growth Inv,5/9/1991,No,US Equity Large Cap Blend,252.00,2029007869.00,29938.02,2.08,7.79,16.24,1.01,32.84,8.11,5.48,13.80,,,13.84,2.06,0.79,5.15,2.37,9.66,1.12,0.20,11.12,15.37
BERCX,Berwyn Cornerstone,5/1/2002,No,US Equity Large Cap Value,32.00,8104904.00,23945.30,2.20,10.01,15.11,1.32,32.41,9.82,6.51,17.99,15.40,13.53,13.27,2.30,1.10,8.79,3.26,8.91,-6.51,0.02,6.68,0.35
BERWX,Berwyn,5/4/1984,No,US Equity Small Cap,42.00,137791413.00,476.86,1.32,6.75,15.16,0.61,28.94,0.25,-2.73,2.30,13.37,-0.67,15.11,1.35,0.52,5.17,1.87,11.48,-3.85,-2.06,-1.79,-3.61
BFGBX,BlackRock Capital Appreciation K,12/31/1997,No,US Equity Large Cap Growth,67.00,461876932.00,39389.89,3.00,11.70,24.20,1.60,30.13,9.61,5.60,14.90,17.73,12.80,18.21,2.90,1.27,7.25,1.75,11.62,5.77,-0.70,10.32,14.72
BFGFX,Baron Focused Growth Retail,5/31/1996,No,US Equity Mid Cap,30.00,76501627.00,3724.91,2.79,9.51,21.82,1.35,30.24,11.68,8.41,18.92,26.70,13.90,19.41,3.06,1.35,8.09,1.01,13.95,11.16,9.56,21.11,31.61
BFOCX,Berkshire Focus,7/1/1997,No,Technology Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
BFTHX,Baron Fifth Avenue Growth Retail,4/30/2004,No,US Equity Large Cap Growth,41.00,44307251.00,28175.24,2.31,9.78,21.10,1.68,38.11,9.37,5.20,12.06,18.35,10.43,17.63,1.79,1.41,6.58,1.55,13.75,1.22,10.12,4.34,19.98
BGEIX,American Century Global Gold Inv,8/17/1988,No,Precious Metals Sector Equity,55.00,967679073.00,8310.71,2.62,19.79,34.63,6.22,11.37,5.61,-1.15,-2.30,-47.78,0.98,21.66,1.98,3.53,2.26,0.65,15.53,5.93,10.71,24.05,21.55
BGRFX,Baron Growth Retail,12/30/1994,No,US Equity Mid Cap,96.00,5516888225.00,2562.99,2.61,9.51,19.86,1.28,33.30,9.87,7.47,15.79,20.19,12.41,20.34,2.45,1.13,8.10,0.86,13.95,18.34,11.34,15.95,17.82
BGRWX,Barrett Growth,12/29/1998,No,US Equity Large Cap Growth,46.00,14612816.00,32625.06,3.03,12.68,22.23,1.67,22.33,12.68,7.32,15.60,17.27,15.83,18.50,2.96,1.32,9.76,1.46,11.64,10.11,6.15,14.68,18.79
BGSIX,BlackRock Science & Technology Opp Instl,5/15/2000,No,Technology Sector Equity,116.00,164883514.00,20815.32,3.24,12.31,27.34,2.25,20.31,7.32,4.85,10.61,4.86,12.34,20.29,3.13,1.80,6.39,1.11,12.71,5.22,0.89,2.37,6.23
BGVIX,Brandes Global Equity I,10/6/2008,No,Global Equity,84.00,37456848.00,38650.05,1.36,3.98,16.13,0.62,37.63,3.04,2.60,5.89,7.91,8.15,13.50,1.32,0.51,4.07,5.21,7.16,-15.24,-6.71,5.95,-2.69
BHBFX,Madison Dividend Income Y,12/18/1986,No,US Equity Large Cap Value,35.00,12119013.00,44331.94,2.64,10.80,17.68,1.42,30.14,9.76,8.48,19.63,15.09,15.66,15.38,2.59,1.22,10.15,1.92,13.58,6.81,8.44,12.97,12.11
BHGIX,Baird LargeCap Inst,9/29/2000,No,US Equity Large Cap Blend,54.00,21402417.00,25403.25,2.93,12.62,22.87,1.71,30.09,9.18,8.00,16.24,17.64,12.71,17.92,2.86,1.46,10.97,1.45,13.53,10.00,7.55,13.02,12.18
BIAFX,Brown Advisory Flexible Equity Inv,11/30/2006,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
BIAGX,Brown Advisory Growth Equity Inv,6/28/1999,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
BIASX,Brown Advisory Small-Cap Growth Inv,6/28/1999,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
BIAUX,Brown Advisory Sm-Cp Fundamental Val Inv,12/31/2008,No,US Equity Small Cap,,,,,,,,,,,,,,,,,,,,,,,
BIBDX,BlackRock Global Dividend Instl,4/7/2008,No,Global Equity,,,,,,,,,,,,,,,,,,,,,,,
BIEMX,William Blair Emerging Mkts Growth Instl,6/6/2005,No,Emerging Markets Equity,124.00,1048165548.00,16777.66,3.18,11.21,20.32,1.66,22.11,15.25,7.78,17.51,,20.11,14.82,2.51,1.65,6.71,2.05,12.48,30.13,-42.53,-16.84,184.03
BIGFX,Baron International Growth Retail,12/31/2008,No,Global Equity Large Cap,63.00,30478895.00,4193.47,2.59,8.18,21.54,1.35,,12.67,7.64,18.07,93.98,14.94,18.20,1.47,1.46,3.03,1.12,10.30,80.42,13.30,4.47,11.92
BIGRX,American Century Income & Growth Inv,12/17/1990,No,US Equity Large Cap Value,234.00,1817768937.00,34898.96,1.94,7.02,16.43,0.95,32.51,6.76,4.21,11.20,11.35,13.79,12.91,1.99,0.75,5.07,2.63,8.91,-1.53,-2.87,9.48,13.89
BIIEX,Brandes International Equity I,12/27/1996,No,Global Equity Large Cap,95.00,705076549.00,24326.86,1.08,3.09,14.23,0.56,35.90,2.19,1.38,6.13,6.62,4.78,14.08,1.11,0.53,3.27,5.59,7.48,-24.81,-8.69,-0.08,-9.04
BIONX,Biondo Growth Inv,5/3/2006,No,US Equity Large Cap Growth,,,,,,,,,,,,,,,,,,,,,,,
BIOPX,Baron Opportunity Retail,2/29/2000,No,US Equity Mid Cap,58.00,182325953.00,4823.72,3.56,15.75,33.01,3.43,31.40,8.18,5.15,12.30,21.87,14.48,30.13,3.03,2.45,11.89,0.38,16.30,12.44,14.08,13.94,28.29
BISCX,UBS US Small Cap Growth P,9/30/1997,No,US Equity Small Cap,97.00,182673580.00,1429.21,2.66,9.07,24.35,1.07,27.78,2.32,1.49,5.44,,,21.91,2.52,0.85,5.30,0.73,15.05,19.15,7.84,9.07,19.03
BISMX,Brandes International Small Cap Equity I,8/20/1996,No,Global Equity Mid/Small Cap,,,,,,,,,,,,,,,,,,,,,,,
BJBIX,Aberdeen Select International Eq A,10/4/1993,No,Global Equity Large Cap,,,,,,,,,,,,,,,,,,,,,,,
BLUEX,AMG Managers Brandywine Blue I,1/10/1991,No,US Equity Large Cap Growth,42.00,2319585186.00,20715.48,2.80,10.55,25.40,1.08,30.06,6.51,4.19,13.39,13.57,10.93,19.55,2.69,0.82,9.29,1.64,12.90,4.63,-0.31,6.18,12.06
BMCAX,BlackRock Flexible Equity Investor A,8/26/1986,No,US Equity Large Cap Blend,120.00,727501033.00,5291.29,1.51,6.53,15.72,0.90,38.91,3.71,0.06,0.88,15.00,3.44,13.97,1.36,0.70,4.08,2.70,9.63,-12.15,-1.72,5.44,13.31
BMCIX,BlackRock US Opportunities Instl,5/1/1998,No,US Equity Mid Cap,199.00,2702613004.00,3723.59,1.87,7.48,19.05,0.86,35.86,2.09,1.15,5.09,16.68,4.83,16.53,1.57,0.70,5.79,2.01,12.03,-3.12,-5.77,5.47,5.86
BMDIX,Baird MidCap Inst,12/29/2000,No,US Equity Mid Cap,55.00,27390791.00,3653.39,3.12,12.00,25.54,1.72,27.22,7.24,6.09,13.41,18.72,9.21,21.83,2.85,1.37,10.31,1.13,14.92,11.02,12.52,14.46,20.37
BMGEX,Adalta International,12/8/1993,No,Global Equity Mid/Small Cap,62.00,62992593.00,19792.70,1.74,8.12,14.63,1.02,28.98,18.08,5.42,14.98,30.53,11.69,14.10,1.16,0.67,3.47,3.35,11.88,-5.68,-20.33,-7.85,-1.32
BMLEX,Mount Lucas US Focused Eq I,10/1/2007,No,US Equity Large Cap Value,34.00,4462442.00,9497.84,1.51,6.04,16.19,0.42,41.68,-1.46,0.70,0.85,12.69,5.09,14.21,1.54,0.24,5.31,2.43,8.10,-1.55,1.92,18.10,-10.77
BMPEX,"Beck, Mack & Oliver Partners",4/19/1991,No,US Equity Large Cap Blend,34.00,17404290.00,8665.93,1.96,8.46,11.40,1.77,31.73,16.09,1.94,4.93,17.73,7.90,12.85,1.91,1.09,5.63,1.20,11.25,10.67,2.76,10.56,19.32
BNUEX,UBS International Sustainable Equity P,8/31/1993,No,Global Equity Large Cap,166.00,76932110.00,26700.08,1.73,5.45,13.26,0.96,37.89,11.42,4.82,12.32,,8.49,15.28,1.43,0.79,3.33,4.10,8.90,-18.55,0.51,3.02,10.21
BOGIX,Bogle Investment Mgmt Sm Cp Gr Instl,10/1/1999,No,US Equity Small Cap,146.00,89874941.00,796.37,1.53,5.38,15.55,0.61,32.08,-1.74,-2.11,-0.28,7.42,1.71,14.94,1.54,0.48,3.87,1.16,14.46,-7.61,-10.93,7.07,-0.80
BOGSX,Black Oak Emerging Technology,12/29/2000,No,Technology Sector Equity,,,,,,,,,,,,,,,,,,,,,,,
BOPIX,Sterling Capital Special Opps Inst,6/2/2003,No,US Equity Large Cap Growth,31.00,524677130.00,15962.79,2.32,9.19,18.27,1.00,34.38,6.49,4.26,9.21,12.91,12.84,15.51,2.14,0.89,8.39,1.52,12.57,8.00,10.08,13.03,12.31
BOSOX,Boston Trust Small Cap,12/16/2005,No,US Equity Small Cap,95.00,106368811.00,1114.77,2.27,10.99,23.30,1.60,29.70,8.28,6.35,12.51,14.45,19.57,20.94,2.19,1.22,8.05,1.95,13.25,-1.71,8.10,13.81,9.78
